	V_cra Queen.x	V_cra Worker.x	V_vul Queen.x	V_vul Worker.x	A_caj Queen.x	A_caj Worker.x	P_can Queen.x	P_can Worker.x	A_pal Queen.x	A_pal Worker.x	M_cin Queen.x	M_cin Worker.x	M_bas Queen.x	M_bas Worker.x	P_qua Queen.x	P_qua Worker.x	B_mel Queen.x	B_mel Worker.x
OG0000147	119.0538597	186.6661613	133.5078402	144.8611311	106.2665276	104.4690613	109.450584	109.3465459	93.93543006	100.317447	74.9017291	90.47304979	139.994549	148.254153	69.41320979	78.84643259	141.7445072	101.198135
OG0000151	142.7917043	121.1710541	514.8543172	589.9241848	2346.203536	2213.55512	1358.719556	1805.957122	784.5016	775.8976761	470.4354213	874.7331048	1776.293074	720.6240284	921.4780107	1023.793235	790.5623688	640.0367779
OG0000157	295.4446417	92.58189355	108.2205501	289.4204682	170.8405236	133.3446484	68.90393922	72.70199513	177.6208724	212.4308649	149.8034582	218.8704191	159.1546421	265.7314945	175.9121973	221.9381065	250.5980238	240.6385127
OG0000178	655.574363	806.8974382	70.996754	109.468923	383.3309072	383.149519	312.7784733	392.6346048	178.8352343	225.4771893	127.4621559	173.5074798	211.4602978	264.0425231	128.130641	128.4914897	216.5323549	151.7883255
OG0000195	624.5510785	681.9400806	376.481078	531.0414273	765.4267084	889.7127144	258.6750913	242.2823112	522.3079241	614.8379253	141.043022	158.6376763	651.8627303	809.7679369	358.5589792	379.1254684	537.9948011	495.3382399
OG0000201	15.97983568	41.32964118	40.53320657	81.47505808	86.22983704	101.113969	34.88145007	29.35531931	56.63207413	115.1811458	28.03558579	64.69194867	236.355832	193.4810528	74.96078319	75.01991351	45.41697622	69.54264823
OG0000204	599.7470364	697.0592648	222.8619222	293.6455846	436.8908871	471.6337446	358.5153529	362.8179052	264.7219864	301.2802761	262.5940736	280.0946473	295.3731144	329.3475392	203.6468947	203.4096984	220.0563896	226.6631094
OG0000205	422.3936137	496.9311362	262.4342683	679.0908751	164.2572428	342.5539152	534.8975268	575.2829402	199.7662563	213.4017466	263.6913183	175.2500155	480.9588953	403.4764923	74.72227161	97.67693437	387.2522586	580.261821
OG0000217	150.4169855	188.7014746	50.00943466	70.83956235	32.93299874	96.38034924	175.7394549	149.9491626	41.61827972	20.83922553	764.1290433	53.78808714	56.92086059	18.01569454	92.55200292	113.8892915	0	1140.698276
OG0000225	49.75248035	210.0921202	359.9620284	341.7501801	1399.405899	1093.917217	295.4018914	534.5667086	359.9981196	449.5780205	540.9591225	946.372888	464.1777305	805.8270037	304.2805576	396.0447246	1027.843457	795.0859322
OG0000227	527.3112406	638.4403062	260.2834344	430.1739084	851.9836945	862.6008315	568.761267	510.3552025	682.242514	719.3571417	457.2772462	360.9056711	872.0737363	1169.216699	637.244312	762.0180441	398.2198378	663.9574131
OG0000235	1425.301869	1541.549096	1139.200338	2066.598774	1105.033441	1213.808554	509.3698264	672.7500977	618.1800905	756.3508057	139.7311467	116.0013221	805.6986984	841.8133536	525.8348385	934.9787204	1007.873927	467.8164897
OG0000239	175.0255824	258.4364007	37.70351921	74.7310591	89.37331215	66.65078471	408.8855586	521.1855275	571.866377	721.9741608	140.0027202	221.1706654	882.3516578	520.7042414	184.8068569	205.6764074	218.490152	109.1223633
OG0000257	25.53039829	46.43878147	90.14607769	184.2040974	784.4700988	738.2014066	214.9118481	237.6685086	847.6781486	781.0670964	497.3693823	526.6993939	511.4486172	744.6449544	430.7083368	484.8340649	615.2729667	591.9706228
OG0000277	126.1103078	177.5588101	247.9792161	341.3284915	681.4632079	688.8835763	427.5926289	415.185142	481.3882369	557.2279671	257.0793791	299.2972423	247.8239169	205.8668428	230.7342035	256.9799585	318.3338865	471.3702605
OG0000283	126.0184194	155.3762645	106.6082732	115.3410116	275.9430646	308.1414121	201.7828751	209.9285969	187.5795322	202.7382019	94.83172134	128.6477194	152.0220527	140.1846231	116.3239215	127.1814104	115.5139422	110.6669664
